Title,Release Year,Distributor,Production,Longitude,Latitude
Groove,2000,Sony Pictures Classics,415 Productions,-122.3845135,37.755198
Always Be My Maybe,2019,Netflix,"Isla Productions, LLC",-122.4164777,37.7794964
Surface Season 1,2022,Apple TV+,"Apple Studios, LLC",-122.4108452,37.7918443
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4210043,37.8043856
Ant-Man and the Wasp: Quantumania,2023,Walt Disney Studios Motion Pictures,Pym Particles Production III LLC,-122.443956,37.7669343
Looking Season 2 ep 202,2015,HBO,"Mission Street Productions, LLC",-122.4332549,37.7690667
The Internship,2013,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.3894682,37.7908723
Patch Adams,1998,Universal Pictures,Bungalow 78 Productions,-122.401987,37.7888172
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4114405,37.758945
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4126175,37.758168
Junior,1994,Universal Pictures,Northern Lights Entertainment,-122.4199372,37.8045625
A Smile Like Yours,1997,Paramount Pictures,Paramount Pictures,-122.4133739,37.7918593
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4413611,37.7925235
The Right Stuff,1983,The Ladd Company,The Ladd Company,-122.4204998,37.7074392
Women is Losers,2020,,Look at the Moon Pictures,-122.4083202,37.7529581
The Competition,1980,American Broadcasting Company (ABC),Columbia Pictures Corporation,-122.409821,37.808673
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.4061984,37.7873324
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4495281,37.7582061
The Rock,1996,Buena Vista Pictures,Hollywood Pictures,-122.4148973,37.7959824
Tales of the City,2019,Netflix,Universal Television LLC,-122.4156925,37.7991835
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4266135,37.7608223
High Crimes,2002,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4000474,37.7910468
Stigmata,1999,Metro-Goldwyn Mayer Distributing,Metro-Goldwyn Mayer,-122.4031951,37.7609071
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4186414,37.7861255
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.447707,37.7599053
Playing Mona Lisa,2000,Buena Vista Pictures,The Bubble Factory,-122.4602558,37.7726187
Guess Who's Coming to Dinner,1967,Columbia Pictures,Columbia Pictures Corporation,-122.4085114,37.7890687
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4506915,37.8064291
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.41375,37.80264
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.4192417,37.779275
My Big Fat Chinese Christmas,2022,Hallmark Channel,Hongbao Productions,-122.398049,37.8015729
Memoirs of an Invisible Man,1992,Warner Bros. Pictures,Warner Bros. Pictures,-122.4096668,37.7930759
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4100923,37.7923883
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.4042071,37.7951279
A Night Full of Rain,1978,Warner Bros. Pictures,Liberty Film,-122.4074424,37.7977897
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4062533,37.8017817
Chance- Season 1 ep102,2016,HULU,TVM Productions,-122.411619,37.7962
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4135414,37.7812278
By Hook or By Crook,2001,Artistic License,Steakhaus Productions,-122.4208052,37.7602662
Ballers Season 3,2017,HBO,"Chori Perros Productions, LLC",-122.4121403,37.7922657
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.3857003,37.7135483
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.38772,37.74244
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4106579,37.7931077
CSI: NY- episode 903,2012,Columbia Broadcasting System,CBS Television Studios,-122.4484231,37.8029308
Fat Man and Little Boy,1989,Paramount Pictures,Paramount Pictures,-122.4327231,37.7760676
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.40602,37.79426
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4453615,37.7702175
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.4031929,37.7750493
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4256574,37.7764574
Knife Fight,2013,Eagle Films,Divisadero Pictures & Knife Fight,-122.439016,37.8066961
The Candidate,1972,Warner Bros. Pictures,Redford-Ritchie Productions,-122.4087206,37.7877854
Milk,2008,Focus Features,Focus Features,-122.4246468,37.7437303
The Moon Is in Aquarius,2024,Deskpop Entertainment,TMIIAquarius Movie LLC,-122.4238283,37.8062338
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.3911158,37.7918167
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4124596,37.7813691
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.3907,37.78083
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4347365,37.7619917
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4190634,37.7547213
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4263764,37.7188451
Silicon Valley Season 4,2017,HBO,"Brown Hill Productions, LLC",-122.39484,37.77667
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4074198,37.7997083
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.3998262,37.7946507
Junior,1994,Universal Pictures,Northern Lights Entertainment,-122.408083,37.793978
Attack of the Killer Tomatoes,1978,NAI Entertainment,Four Square Productions,-122.4210347,37.8068789
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4147491,37.7795066
The Princess Diaries,2001,Buena Vista Pictures,Walt Disney Pictures,-122.4316939,37.7163399
Copycat,1995,Warner Bros. Pictures,Regency Enterprises,-122.3874201,37.7872065
DEVS,2020,FX Network,Minim Productions,-122.4058947,37.7684814
Looking Season 2 ep 208,2015,HBO,"Mission Street Productions, LLC",-122.4100923,37.7923883
Star Trek VI: The Undiscovered Country,1991,Paramount Pictures,Paramount Pictures,-122.4785598,37.8199109
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.4254316,37.7872511
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4144497,37.7719479
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4647031,37.7408365
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.4103924,37.7915528
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.3699786,37.825284
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.392181,37.7930864
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4180833,37.7508916
Tales of the City,2019,Netflix,Universal Television LLC,-122.4331382,37.7643185
Dawn of the Planet of the Apes,2014,Twentieth Century Fox,"Fox Louisiana Productions, LLC",-122.40915,37.7924361
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.3996934,37.7859444
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4625598,37.7831653
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4788979,37.8360614
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.4213183,37.7648449
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.3866097,37.760628
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4199806,37.7583974
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.4000623,37.7980575
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.510734,37.7593921
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,-122.4077009,37.7847118
Ant-Man,2015,Walt Disney Studios Motion Pictures,"PYM Particles Productions, LLC",-122.4074424,37.7977897
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4207943,37.7629824
Birth of the Dragon,2016,Kylin Pictures,"BOTD U.S. Productions, Inc.",-122.4481679,37.7533798
Harold and Maude,1971,Paramount Pictures,Mildred Lewis and Colin Higgins Productions,-122.482977,37.7689203
Summertime,2015,6 Distribution,"Creative Monster Productions, Inc.",-122.4783452,37.7764605
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4050849,37.8008088
Alexander's Ragtime Band,1938,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4194155,37.7749295
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4187696,37.7554489
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4266135,37.7608223
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4226335,37.8055598
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.4041754,37.7761709
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4121241,37.7981774
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4434259,37.7466075
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4267984,37.7732968
The Princess Diaries,2001,Buena Vista Pictures,Walt Disney Pictures,-122.411412,37.7971782
High Anxiety,1977,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4602558,37.7726187
Parks and Recreation,2014,"NBC Universal Media, LLC","NBC Universal Media, LLC",-122.4212203,37.7735081
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4098767,37.7876607
Superman,1978,Warner Bros. Pictures,Dovemead Films,-122.4785598,37.8199109
The Rock,1996,Buena Vista Pictures,Hollywood Pictures,-122.4100923,37.7923883
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4157509,37.8084354
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4073139,37.7986417
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4149402,37.7612212
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4070356,37.7986865
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.402597,37.7931137
The Pursuit of Happyness,2006,Columbia Pictures,Columbia Pictures Corporation,-122.4572935,37.7682469
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.4192417,37.779275
Shang-Chi and the Legend of the Ten Rings,2021,Disney/Marvel,Freelance Restorations LLC,-122.4134944,37.7878251
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.3938338,37.7618033
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.4026072,37.7919161
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4161326,37.7388562
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4076843,37.7998345
The Wedding Planner,2001,Sony Pictures Entertainment,Columbia Pictures,-122.4044922,37.8010458
Edtv,1999,MCA / Universal Pictures,Imagine Entertainment,-122.407305,37.799607
Tales of the City,2019,Netflix,Universal Television LLC,-122.435033,37.7608937
Freebie and the Bean,1974,American Broadcasting Company (ABC),Warner Bros. Pictures,-122.4149402,37.7612212
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,-122.4089071,37.7994612
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4447333,37.7933788
Mission (aka City of Bars),2001,NA,NA,-122.4241968,37.7630249
D.O.A,1950,United Artists,Cardinal Pictures,-122.4141247,37.7924899
Bedazzled,2000,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4185327,37.800134
Red Widow,2013,American Broadcasting Company (ABC),Beyond Pix,-122.4100057,37.79856
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4152084,37.7968006
The Graduate,1967,Embassy Pictures Corporation,Embassy Pictures Corporation,-122.3648992,37.8102258
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.3956663,37.7942169
Fremont,2023,Music Box Films,Fremont The Movie LLC,-122.4061592,37.7956724
Boys and Girls,2000,Dimension Films,Punch 21 Productions,-122.4058222,37.8023949
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4091939,37.7920536
My Big Fat Chinese Christmas,2022,Hallmark Channel,Hongbao Productions,-122.4093066,37.7860399
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.41802,37.8056
Ant-Man and the Wasp: Quantumania,2023,Walt Disney Studios Motion Pictures,Pym Particles Production III LLC,-122.4099386,37.7987411
Looking Season 2 ep 209,2015,HBO,"Mission Street Productions, LLC",-122.4126175,37.758168
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.3892168,37.7784136
Looking Season 2 ep 202,2015,HBO,"Mission Street Productions, LLC",-122.419019,37.783059
Americana,2015,,Sutro Films LLC,-122.4544114,37.7903388
I’m A Virgo,2023,Prime Video,Bing Bang Productions Inc,-122.4100923,37.7923883
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.5008419,37.7844661
Pleasure of His Company,1961,Paramount Pictures,Perlsea Company,-122.4133739,37.7918593
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.4261039,37.7742084
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.4022487,37.7984316
A Jitney Elopement,1915,General Film Company,The Essanay Film Manufacturing Company,-122.42792,37.75826
DEVS,2020,FX Network,Minim Productions,-122.433214,37.769551
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4192417,37.779275
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.3955818,37.7548219
The Internship,2013,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.410476,37.811104
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4086079,37.7873909
Surface Season 1,2022,Apple TV+,"Apple Studios, LLC",-122.4108452,37.7918443
DEVS,2020,FX Network,Minim Productions,-122.3956409,37.7993521
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4175821,37.7846455
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4102081,37.7904395
Chance- Season 1 ep106,2016,HULU,TVM Productions,-122.4040634,37.7981354
"Play it Again, Sam",1972,Paramount Pictures,Paramount Pictures,-122.4235663,37.8064162
By Hook or By Crook,2001,Artistic License,Steakhaus Productions,-122.4218163,37.7663816
On the Road,2012,IFC Films & Sundance Selects,SPAD Films,-122.3648992,37.8102258
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4229802,37.7967933
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.388217,37.751986
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.4314,37.76569
Homeward Bound II: Lost in San Francisco,1996,Buena Vista Pictures,Walt Disney Pictures,-122.409821,37.808673
Goliath,2021,Amazon Prime Video,Amazon Studios,-122.4055626,37.7905824
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.3816274,37.6191145
Chu Chu and the Philly Flash,1981,Columbia Broadcasting System (CBS),Melvin Simon Productions,-122.4100923,37.7923883
Chance- Season 1 ep107,2016,HULU,TVM Productions,-122.4559379,37.7825888
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.433029,37.799185
Cardinal X,2015,,Fire Horse Film Productions LLC,-122.4098403,37.7875748
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4138534,37.7758595
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4059124,37.7882738
Interview With The Vampire,1994,Geffen Pictures,Geffen Pictures,-122.3936136,37.7954425
Forrest Gump,1994,Paramount Pictures,Paramount Pictures,-122.4491285,37.8026694
Dirty Harry,1971,Warner Brothers,The Malpaso Company,-122.4591718,37.7480485
Basic Instinct,1992,TriStar Pictures,Carolco Pictures,-122.39658,37.79021
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4243795,37.775961
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4184826,37.786791
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.3961126,37.8010939
Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,-122.4060487,37.8027862
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4414982,37.7773072
When a Man Loves a Woman,1994,Buena Vista Pictures,Touchstone Pictures,-122.4207822,37.8065278
Sausalito,2000,,B.O.B and Partners,-122.435033,37.7608937
High Crimes,2002,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4053532,37.7882182
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4406707,37.7943942
The Towering Inferno,1974,Twentieth Century - Fox,Irwin Allen Productions,-122.3956663,37.7942169
Romeo Must Die,2000,Warner Bros. Pictures,Silver Pictures,-122.4048082,37.7944675
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4341129,37.7513041
Looking Season 2 ep 209,2015,HBO,"Mission Street Productions, LLC",-122.4216174,37.7645139
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.4041754,37.7761709
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.3894682,37.7908723
The Last Thing He Told Me,2023,Apple TV+,20th Television,-122.3892168,37.7784136
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4089604,37.7734395
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.4362179,37.7968371
A View to a Kill,1985,MGM/UA Entertainment Company,Metro-Goldwyn Mayer,-122.4011391,37.7597412
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4114139,37.7856667
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.4066183,37.787552
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.4678099,37.7829882
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.4007722,37.791194
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.3884892,37.7357232
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4189908,37.7862658
Goliath,2021,Amazon Prime Video,Amazon Studios,-122.4109,37.79364
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4599177,37.786767
Women is Losers,2020,,Look at the Moon Pictures,-122.417322,37.7495114
Petulia,1968,Warner Brothers / Seven Arts,Warner Brothers / Seven Arts,-122.4178625,37.7907126
The Assassination of Richard Nixon,2004,THINKFilm,Anhelo Productions,-122.4131372,37.7889254
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4428744,37.7999898
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.406486,37.7883421
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4246518,37.7766803
Looking Season 2 ep 207,2015,HBO,"Mission Street Productions, LLC",-122.43489,37.771831
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4123016,37.79176
I’m A Virgo,2023,Prime Video,Bing Bang Productions Inc,-122.40567,37.79706
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4133882,37.7509484
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4340242,37.7750608
Milk,2008,Focus Features,Focus Features,-122.3699786,37.825284
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.408346,37.7874795
Americana,2015,,Sutro Films LLC,-122.4063952,37.7986067
Steve Jobs,2015,Universal Pictures,RDF Productions LLC,-122.4039816,37.7947023
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4139419,37.7977174
Ballers Season 3,2017,HBO,"Chori Perros Productions, LLC",-122.4141357,37.7914291
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.4053898,37.7964791
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.3866361,37.7816903
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.464095,37.7827373
Final Analysis,1992,Warner Bros. Pictures,Warner Bros. Pictures,-122.4029373,37.7968711
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.3815252,37.7127107
Big Eyes,2014,Weinstein Company,Blink & Wink Productions,-122.4057606,37.7915137
Tales of the City,2019,Netflix,Universal Television LLC,-122.428974,37.7674063
Guess Who's Coming to Dinner,1967,Columbia Pictures,Columbia Pictures Corporation,-122.4044376,37.7840396
Boys and Girls,2000,Dimension Films,Punch 21 Productions,-122.4125282,37.8085771
The Presidio,1988,Paramount Pictures,Paramount Pictures,-122.4810057,37.7923841
High Crimes,2002,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4065082,37.7974835
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4342344,37.7628182
DEVS,2020,FX Network,Minim Productions,-122.4197149,37.7570015
Bitter Melon,2018,"ABS-CBN, Gravitas Ventures",Bitter Melon Film LLC/Mammoth Pictures,-122.4236314,37.7616945
Golden Gate,1994,The Samuel Goldwyn Company,American Playhouse Theatrical Films,-122.4431784,37.7703713
My Big Fat Chinese Christmas,2022,Hallmark Channel,Hongbao Productions,-122.4028388,37.7946664
Twisted,2004,Paramount Pictures,Paramount Pictures,-122.3887656,37.7764036
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.4221877,37.7970285
Americana,2015,,Sutro Films LLC,-122.4347362,37.7187579
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4020222,37.8032531
Blindspotting (Season 2),2023,Starz,Blindspotting Productions Inc.,-122.3966387,37.7985824
The Last Thing He Told Me,2023,Apple TV+,20th Television,-122.4379123,37.8006219
The Woman In Red,1984,MGM Home Entertainment,Orion Pictures Corp.,-122.4491285,37.8026694
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4116,37.7590974
180,2011,,SPI Cinemas,-122.4108465,37.7918448
DEVS,2020,FX Network,Minim Productions,-122.4067083,37.7978824
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4083567,37.7761825
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4324326,37.7701803
DEVS,2020,FX Network,Minim Productions,-122.3962823,37.7789746
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4030932,37.7983271
Looking Season 2 ep 203,2015,HBO,"Mission Street Productions, LLC",-122.4195427,37.7552119
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.4057868,37.7781224
I Am Michael,2015,,That’s Hollywood,-122.510734,37.7593921
Looking Season 2 ep 207,2015,HBO,"Mission Street Productions, LLC",-122.4266135,37.7608223
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4196461,37.8020026
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.4000474,37.7910468
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.4189444,37.7648472
Bedazzled,2000,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.3953583,37.7954828
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4044008,37.7991483
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.5027384,37.7720857
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4021742,37.8007544
This Is Us,2022,NBC,20th Television,-122.434819,37.7763694
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.482977,37.7689203
